; 08:00 - 09:30;09:45 - 11:15; 11:30 - 13:00;13:45 - 15:15;15:30 - 17:00;17:15 - 18:45;19:00 - 20:30;Semesterferien;Monat;Feiertag
06.01.2020;0;0;0;0;0;0;0;Ja;1;Ja
13.01.2020;2;4;4;6;4;4;2;Nein;1;Nein
20.01.2020;4;9;6;9;6;4;3;Nein;1;Nein
27.01.2020;2;8;6;9;8;6;1;Nein;1;Nein
03.02.2020;4;8;9;6;8;3;0;Nein;2;Nein
10.02.2020;3;8;6;9;8;4;1;Nein;2;Nein
17.02.2020;2;8;9;6;4;3;3;Ja;2;Nein
24.02.2020;2;4;3;5;4;1;0;Ja;2;Nein
02.03.2020;0;3;4;4;3;3;0;Ja;3;Nein
09.03.2020;0;2;2;3;0;0;0;Ja;3;Nein
16.03.2020;2;1;3;3;0;1;1;Ja;3;Nein
20.03.2020;6;7;3;6;8;3;3;Nein;3;Nein
30.03.2020;4;8;6;3;7;6;1;Nein;3;Nein
06.04.2020;3;7;3;9;8;3;1;Nein;4;Nein
13.04.2020;6;7;9;3;7;3;3;Nein;4;Nein
20.04.2020;4;8;3;3;7;6;1;Nein;4;Nein
27.04.2020;4;7;3;6;8;3;2;Nein;4;Nein
04.05.2020;4;8;6;3;7;4;3;Nein;5;Nein
11.05.2020;3;7;3;9;8;6;1;Nein;5;Nein
18.05.2020;4;7;9;3;7;3;2;Nein;5;Nein
25.05.2020;3;8;3;3;7;4;1;Nein;5;Nein
01.06.2020;0;0;0;0;0;0;0;Nein;6;Ja
08.06.2020;3;8;9;3;7;6;1;Nein;6;Nein
15.06.2020;4;8;3;6;8;3;1;Nein;6;Nein
22.06.2020;1;3;2;0;4;3;2;Ja;6;Nein
29.06.2020;0;0;6;3;2;2;0;Ja;6;Nein
06.07.2020;0;0;3;1;4;0;0;Ja;7;Nein
13.07.2020;0;1;0;3;2;0;0;Ja;7;Nein
20.07.2020;0;2;3;2;3;0;0;Ja;7;Nein
27.07.2020;0;3;9;3;3;3;0;Ja;7;Nein
03.08.2020;2;4;3;0;3;2;2;Ja;8;Nein
10.08.2020;0;0;0;0;0;0;0;Ja;8;Nein
17.08.2020;0;5;3;2;3;0;0;Ja;8;Nein
24.08.2020;0;3;6;3;0;0;0;Ja;8;Nein
31.08.2020;0;0;0;1;2;0;0;Ja;9;Nein
07.09.2020;0;5;3;3;0;3;0;Ja;9;Nein
14.09.2020;2;2;3;3;0;2;2;Ja;9;Nein
21.09.2020;0;2;3;4;2;1;0;Ja;9;Nein
28.09.2020;0;4;1;3;2;2;0;Ja;9;Nein
05.10.2020;3;7;3;9;8;7;0;Nein;10;Nein
12.10.2020;2;7;9;3;7;7;0;Nein;10;Nein
19.10.2020;2;9;3;3;7;6;2;Nein;10;Nein
26.10.2020;4;8;9;3;7;6;0;Nein;10;Nein
02.11.2020;3;7;3;6;8;7;0;Nein;11;Nein
09.11.2020;2;8;6;3;7;8;0;Nein;11;Nein
16.11.2020;2;7;3;9;8;7;0;Nein;11;Nein
23.11.2020;4;7;9;3;7;7;0;Nein;11;Nein
30.11.2020;2;9;3;3;7;6;2;Nein;11;Nein
07.12.2020;4;8;6;3;7;8;0;Nein;12;Nein
14.12.2020;4;7;3;9;8;7;0;Nein;12;Nein
21.12.2020;0;0;0;0;0;0;0;Ja;12;Nein
28.12.2020;0;0;0;0;0;0;2;Ja;12;Nein
06.01.2019;0;0;0;0;0;0;0;Ja;1;Ja
13.01.2019;2;4;4;6;4;4;2;Nein;1;Nein
20.01.2019;3;9;6;9;6;4;3;Nein;1;Nein
27.01.2019;2;8;6;9;8;6;1;Nein;1;Nein
03.02.2019;4;8;9;6;8;3;0;Nein;2;Nein
10.02.2019;3;8;6;9;8;4;1;Nein;2;Nein
17.02.2019;2;3;9;6;8;3;3;Ja;2;Nein
24.02.2019;2;2;6;6;8;6;1;Ja;2;Nein
02.03.2019;0;2;6;6;8;3;1;Ja;3;Nein
09.03.2019;0;3;6;9;8;3;2;Ja;3;Nein
16.03.2019;2;0;9;3;7;4;1;Ja;3;Nein
20.03.2019;5;7;3;6;8;3;3;Nein;3;Nein
30.03.2019;4;8;6;3;7;6;1;Nein;3;Nein
06.04.2019;3;7;3;9;8;3;1;Nein;4;Nein
13.04.2019;6;7;9;3;7;3;3;Nein;4;Nein
20.04.2019;4;8;3;3;7;6;1;Nein;4;Nein
27.04.2019;4;7;3;6;8;3;2;Nein;4;Nein
04.05.2019;6;8;6;3;7;4;3;Nein;5;Nein
11.05.2019;3;7;3;9;8;6;1;Nein;5;Nein
18.05.2019;4;7;9;3;7;3;2;Nein;5;Nein
25.05.2019;3;8;3;3;7;4;1;Nein;5;Nein
01.06.2019;0;0;0;0;0;0;0;Nein;6;Ja
08.06.2019;3;8;9;3;7;6;1;Nein;6;Nein
15.06.2019;4;8;3;6;8;3;1;Nein;6;Nein
22.06.2019;2;0;2;2;0;0;0;Ja;6;Nein
29.06.2019;0;0;9;3;4;0;0;Ja;6;Nein
06.07.2019;0;1;3;6;8;0;0;Ja;7;Nein
13.07.2019;0;2;6;3;7;8;0;Ja;7;Nein
20.07.2019;0;3;9;3;3;3;0;Ja;7;Nein
27.07.2019;2;4;3;0;3;2;2;Ja;7;Nein
03.08.2019;0;8;2;3;2;2;0;Ja;8;Nein
10.08.2019;0;5;3;2;3;0;0;Ja;8;Nein
17.08.2019;0;3;3;3;0;0;0;Ja;8;Nein
24.08.2019;0;0;0;1;2;0;0;Ja;8;Nein
31.08.2019;0;5;3;3;2;3;0;Ja;9;Nein
07.09.2019;2;2;3;3;2;2;2;Ja;9;Nein
14.09.2019;2;3;3;3;2;1;2;Ja;9;Nein
21.09.2019;3;2;3;6;8;0;0;Ja;9;Nein
28.09.2019;1;0;6;3;7;8;0;Ja;9;Nein
05.10.2019;3;7;3;9;8;7;0;Nein;10;Nein
12.10.2019;2;7;9;3;7;7;0;Nein;10;Nein
19.10.2019;2;9;3;3;7;6;2;Nein;10;Nein
26.10.2019;4;8;9;3;7;8;0;Nein;10;Nein
02.11.2019;3;7;3;6;8;7;0;Nein;11;Nein
09.11.2019;3;8;6;3;7;8;0;Nein;11;Nein
16.11.2019;2;7;3;9;8;7;0;Nein;11;Nein
23.11.2019;4;7;9;3;7;7;0;Nein;11;Nein
30.11.2019;2;9;3;3;7;6;2;Nein;11;Nein
07.12.2019;4;8;6;3;7;8;0;Nein;12;Nein
14.12.2019;4;7;3;9;8;7;0;Nein;12;Nein
21.12.2019;0;0;0;0;0;0;0;Ja;12;Nein
28.12.2019;0;0;0;0;0;0;2;Ja;12;Nein
